Actual,Error,Predicted
5950000,-5391.322975419071,-5955391.322975419
5950000,-4261.211737947133,-5954261.211737948
5900000,-5690.419869799385,-5905690.419869799
5850000,-5930.0688242829,-5855930.068824283
5775000,-7649.305893800498,-5782649.3058938
5750000,-5902.9853345984675,-5755902.985334598
5750000,-6464.845276907513,-5756464.845276907
5750000,-7731.340660306957,-5757731.340660307
5750000,-8271.871463621766,-5758271.871463622
5695000,-6688.172504143966,-5701688.172504144
5695000,-5475.664781002687,-5700475.664781002
5600000,-6698.015094556658,-5606698.015094557
5600000,-7416.672547219243,-5607416.672547219
5600000,-8285.29293460396,-5608285.292934604
5598000,-7434.478359694312,-5605434.478359695
5598000,-6494.477506429675,-5604494.47750643
5550000,-6531.527837759315,-5556531.527837759
5500000,-7897.803936062227,-5507897.803936062
5495000,-7910.206861070268,-5502910.20686107
5495000,-6349.751260905199,-5501349.7512609055
5495000,-6608.288429628459,-5501608.288429628
5495000,-8047.090175117807,-5503047.090175117
5488000,-6863.715803985618,-5494863.7158039855
5488000,-5174.928774375909,-5493174.9287743755
5395000,-5829.445944660983,-5400829.445944661
5375000,-7735.699612814524,-5382735.699612815
5300000,-7684.782729998466,-5307684.782729998
5295000,-5284.700988940777,-5300284.700988941
5249000,-7285.864893084347,-5256285.864893084
5200000,-5877.819463905504,-5205877.819463906
5199000,-6135.600551298672,-5205135.600551299
5195000,-6454.999756168447,-5201454.999756169
5000000,-7931.116335714041,-5007931.116335714
4998000,-5901.975141946796,-5003901.975141947
4995000,-7758.687980739313,-5002758.687980739
4995000,-7637.841029240951,-5002637.841029241
4995000,-7027.217951546849,-5002027.217951546
4995000,-6922.452564265189,-5001922.452564266
4995000,-6866.0898650100935,-5001866.08986501
4995000,-7708.4528047721915,-5002708.452804772
4995000,-6383.997740647658,-5001383.997740648
4985000,-4930.1184691179715,-4989930.118469118
4985000,-7666.847752955077,-4992666.847752955
4900000,-5836.586890747977,-4905836.586890748
4897000,-6965.767024799227,-4903965.767024799
4895000,-7346.879437252186,-4902346.879437252
4850000,-7112.968355927004,-4857112.968355927
4800000,-7587.70219288753,-4807587.702192888
4799000,-7682.063757162165,-4806682.063757163
4788888,-8074.189506208987,-4796962.1895062085
4750000,-6006.454612665443,-4756006.454612666
4750000,-7196.071645101738,-4757196.0716451015
